"numid","general_entropy","med_par","fef"
1,-1.35586941473143,0.171695048312123,0.111781214464661
2,0.722810946066283,0.448265104744207,-0.183441847602265
3,-3.98779148397012,-0.156443031274804,0.353770048507505
4,-0.980179919624599,1.53502504792808,-0.314943982576848
5,-0.0546134044951586,-0.0840665816808489,-1.75601416209885
6,0.4083572285952,0.76902936426765,0.0588225704141218
7,0.432228012706168,0.621236015944789,2.71580970053744
8,-2.13559299379907,-1.05744826132972,1.41457947096773
9,0.710979036568869,-0.96162354667335,-0.631261070261429
10,-0.831590093877803,0.412070527273832,0.291676589267091
11,-0.0349900704683084,-1.15550773622443,0.883187461346641
12,0.177279769877942,-1.10981966343935,1.35989546639296
13,-0.140926812509021,-0.0274303828880096,-0.632454913449241
14,0.366013716596603,-0.74043348828516,0.917968019026399
15,-0.0319215736542179,-0.926185876532871,-0.0799842503960419
16,-0.51038161056967,-0.425523485662308,-0.680609843335556
17,0.330411486008956,-0.370651951592582,-0.395633724675932
18,1.60893870080849,-1.48093681959239,0.205910498059237
19,-0.540379481509246,0.276465918019811,-0.543154928404174
20,1.2555220254681,-0.290260732259347,0.36856690158296
21,0.924717241484899,0.232743597195973,0.893975348827018
22,-0.430415519712273,-0.745550307133274,0.604137095154794
23,0.0593557804237074,-0.0910287543923022,1.31209910934941
24,-0.326186072406285,-0.259286999086315,-1.93104568960442
25,-0.468243036654102,0.0542518392379257,0.081103080495275
26,-0.192086943757668,0.166707304310489,0.0369364822861755
27,0.23988800551423,-0.183255444087831,-0.232357688672245
28,-1.6429287971048,0.653135341465863,-0.678214396615957
29,0.954823389940393,0.943229089043713,-0.525668564465215
30,0.767479363941047,0.114233723381054,-1.65207065377463
31,0.0708574256842799,0.99255261672436,-0.171131410704847
32,1.31896136956553,0.451487417624991,-0.00625543589215416
33,1.09154229462082,0.634408194110478,-0.423314591059811
34,0.0430430200284013,0.582810277320158,0.374029501695237
35,0.430076283233329,0.350325358432825,-0.000731355381381157
36,0.691094018788997,-0.46950292476812,-0.624795112020879
37,-0.0616391224218264,-1.31751268282514,0.332205055764931
38,0.650771003285851,1.65940901878111,-0.154057584695381
39,-0.365055727870579,0.262227551758935,-1.62142662484681
40,0.58936002113788,0.0439309962197579,0.243752399607837
41,-1.40419718923477,-1.04182417610229,-0.796326864556052
42,1.52900098815414,0.256224644826551,0.997682807299763
43,0.157930951688952,2.13131894119685,0.580659788729986
44,-1.42921704885271,-1.85007405926996,0.318707656247846
45,-0.142256493212995,-1.04652058970368,-2.90493923272307
46,0.0991571088834099,-0.156829585507403,1.2097943036833
47,-0.682688779226663,2.5427382843109,0.789889584267778
48,-0.246249091878886,-0.572570884248093,0.25707650292697
49,0.458924057954827,0.722361076952239,-1.67014493830473
50,-0.466593401634794,-0.250930992144973,0.469827579806548
51,-1.56219096547801,1.53828098447681,-0.43365634545347
52,1.75868343665922,0.355553547226054,0.53638590016462
53,-0.086821142661541,0.0755600007909114,1.50870778739672
54,-0.364437261026327,0.360375110514963,1.9283617165205
55,1.72727728372494,0.166720878078898,-0.410948371223512
56,0.0524419704441728,-0.227634693698671,0.585190503700318
57,0.252555188269721,0.158530898731392,-0.629719756968397
58,1.35232522328573,0.140591419877588,1.16261357260942
59,0.61366478010365,-0.696692400510966,-1.48444559905747
60,-0.107573482881853,1.61031636921154,1.16569686041029
61,1.31159930328438,0.248925596188623,0.213217635523102
62,-0.328983944093663,1.06539408597871,-2.58300003572999
63,-1.13488264696461,0.510644635783941,0.462682717650623
64,-0.559433412288913,-0.38141873886694,-0.510974859705597
65,0.890246988365429,-1.60296385849366,-0.874672108815187
66,-0.383423456525132,-0.207649334663323,-0.662090394547501
67,1.41301383407983,0.620443669600364,0.126331284345817
68,-0.962913783413023,-0.0520931868723821,0.525730670341181
69,-1.68737254683866,0.461569348166068,0.140381867471819
70,0.178695470104355,-4.40111767420003,0.660341584775004
