id,run,trial,rewFunc,emotion,magnitude,probability,score,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_offset,isi_ideal,feedback_ideal,iti_ideal,trial_offset
10637,1,1,CEV,scram,47,0.752142857142857,0,1035,0.000766298500820994,1.03699380788021,1.33756441110745,2.18841053824872,3.48861265880987,0.3,0.85,1.3,3.88308095023967
10637,1,2,CEV,scram,60,0.592857142857143,0,2150,3.88476636004634,2.1506845143158,2.45077684451826,3.30100920633413,4.35116697777994,0.3,0.85,1.05,4.37711943825707
10637,1,3,CEV,scram,41,0.849142857142857,41,356,8.26201933482662,0.355917023029178,0.656015778658912,1.5062243945431,2.75640228018165,0.3,0.85,1.25,2.79083151626401
10637,1,4,CEV,scram,42,0.838571428571429,42,430,11.0529896956868,0.430666188010946,0.730764384847134,1.58100149594247,2.73116722935811,0.3,0.85,1.15,2.75772200082429
10637,1,5,CEV,scram,47,0.794571428571429,47,738,13.810846909415,0.738466760376468,1.03857194120064,1.88880849373527,3.13898330647498,0.3,0.85,1.25,3.18494222010486
10637,1,6,CEV,scram,45,0.804428571428571,45,669,16.9959243424237,0.66907218657434,0.969169824616984,1.81937285326421,3.31953139277175,0.3,0.85,1.5,3.34681865992025
10637,1,7,CEV,scram,41,0.830428571428571,41,487,20.3428765388671,0.487701649079099,0.787791185546666,1.63802438578568,3.03818306513131,0.3,0.85,1.4,3.06602263683453
10637,1,8,CEV,scram,47,0.832857142857143,47,470,23.4090357853565,0.470551704056561,0.770644034259021,1.62084706290625,2.62101496127434,0.3,0.85,1,2.64889951096848
10637,1,9,CEV,scram,48,0.820857142857143,48,554,26.0580696708057,0.553942470345646,0.85406441334635,1.70427247043699,3.20442821644247,0.3,0.85,1.5,3.23284467728809
10637,1,10,CEV,scram,41,0.811428571428571,41,620,29.2910540306475,0.619882973842323,0.919975583441556,1.77020934224129,3.02036236436106,0.3,0.85,1.25,3.0490626601968
10637,1,11,CEV,scram,43,0.804428571428571,43,669,32.3402505067643,0.66966695478186,0.969758726190776,1.81998717715032,3.32015409762971,0.3,0.85,1.5,3.33978284941986
10637,1,12,CEV,scram,99,0.386571428571429,0,3594,35.6801300165243,3.59439677395858,3.89448910416104,4.74468319304287,5.99482699623331,0.3,0.85,1.25,6.02423380617984
10637,1,13,CEV,scram,48,0.833,48,469,41.7044979180209,0.469060173956677,0.76915892935358,1.61936111981049,2.61950415489264,0.3,0.85,1,2.64927749196067
10637,1,14,CEV,scram,46,0.806857142857143,46,652,44.3539100640919,0.652060806518421,0.95216766372323,1.8024078477174,2.85258154314943,0.3,0.85,1.05,2.88269486743957
10637,1,15,CEV,scram,50,0.809285714285714,50,635,47.2367426585406,0.634944664780051,0.935038950527087,1.78523778868839,3.03541036648676,0.3,0.85,1.25,3.06580417347141
10637,1,16,CEV,scram,48,0.807,48,651,50.3026786923874,0.651379435090348,0.951517581241205,1.80173597484827,2.90188333997503,0.3,0.85,1.1,2.93270876607858
10637,1,17,CEV,scram,42,0.830857142857143,42,484,53.2355263028294,0.484237242490053,0.784328455338255,1.63456416944973,2.98472152184695,0.3,0.85,1.35,3.00586080085486
10637,1,18,CEV,scram,45,0.824714285714286,45,527,56.2414851607755,0.527280143229291,0.82737722247839,1.67757997172885,3.17773879086599,0.3,0.85,1.5,3.20939588686451
10637,1,19,CEV,scram,49,0.833428571428571,0,466,59.4510157017503,0.466697024414316,0.766787678236142,1.61701612919569,3.06719261803664,0.3,0.85,1.45,3.09907516185194
10637,1,20,CEV,scram,52,0.769142857142857,52,916,62.5502252380829,0.916332941735163,1.21644007833675,2.06664478313178,3.51680423063226,0.3,0.85,1.45,3.56310257315636
10637,1,21,CEV,scram,49,0.759285714285714,49,985,66.1134255889338,0.98527354747057,1.2853703473229,2.13555968715809,3.1357267475687,0.3,0.85,1,3.17041076463647
10637,1,22,CEV,scram,54,0.721857142857143,0,1247,69.2839821821544,1.2469199297484,1.54701253934763,2.3971912630368,3.39735944080167,0.3,0.85,1,3.43026166735217
10637,1,23,CEV,scram,48,0.781142857142857,48,832,72.7143765478395,0.832207724684849,1.13230983261019,1.98251146450639,3.18265533749945,0.3,0.85,1.2,3.216036954429
10637,1,24,CEV,scram,47,0.788428571428571,47,781,75.9305551403668,0.781652696197852,1.08177743270062,1.93198828352615,3.13213606760837,0.3,0.85,1.2,3.16568865603767
10637,1,25,CEV,scram,45,0.797857142857143,45,715,79.0963887867983,0.71478972886689,1.01489127823152,1.86508201458491,3.21522483997978,0.3,0.85,1.35,3.24930514907464
10637,1,26,CEV,scram,51,0.748,51,1064,82.3458280311897,1.06420033844188,1.36429043347016,2.21448703669012,3.31462965277024,0.3,0.85,1.1,3.34892507293262
10637,1,27,CEV,scram,78,0.483857142857143,78,2913,85.6948869200423,2.91342363343574,3.21351847774349,4.06370725878514,5.3138535763137,0.3,0.85,1.25,5.34859151090495
10637,1,28,CEV,scram,78,0.491,78,2863,91.0436147609726,2.86294319550507,3.16304390644655,4.01324721449055,5.26341839553788,0.3,0.85,1.25,5.29895363817923
10637,1,29,CEV,scram,73,0.493571428571429,73,2845,96.3427108752076,2.84543258999474,3.14556989795528,3.99576733913273,4.99590506614186,0.3,0.85,1,5.03162915958092
10637,1,30,CEV,scram,77,0.503142857142857,77,2778,101.374492009403,2.778683883138,3.07878207997419,3.92897086078301,5.27912653703243,0.3,0.85,1.35,5.30340839410201
10637,1,31,CEV,scram,75,0.489571428571429,0,2873,106.677998181432,2.87341826944612,3.17351562832482,4.02370999660343,5.37388606648892,0.3,0.85,1.35,5.40999261080287
10637,1,32,CEV,scram,56,0.607857142857143,56,2045,112.088126004906,2.04509036755189,2.34519387222826,3.19538768194616,4.24552645650692,0.3,0.85,1.05,4.28208808647469
10637,1,33,CEV,scram,78,0.467428571428571,78,3028,116.370350142242,3.02782420674339,3.3279159781523,4.17810112750158,5.67826776858419,0.3,0.85,1.5,5.71499310666695
10637,1,34,CEV,scram,86,0.446142857142857,0,3177,122.085489915684,3.17741807969287,3.47751236543991,4.32771343830973,5.72788720345125,0.3,0.85,1.4,5.76545091625303
10637,1,35,CEV,scram,57,0.684285714285714,57,1510,127.851079117507,1.51047605229542,1.81056866166182,2.66075856029056,4.01090725231916,0.3,0.85,1.35,4.04845280619338
10637,1,36,CEV,scram,59,0.615142857142857,0,1994,131.899668812752,1.99372098967433,2.29381024674512,3.14401495154016,4.19415707862936,0.3,0.85,1.05,4.23196160397492
10637,1,37,CEV,scram,57,0.603285714285714,57,2077,136.131765350001,2.07688379404135,2.37698394642211,3.22718418133445,4.57732924167067,0.3,0.85,1.35,4.61538938619196
