id,run,trial,rewFunc,emotion,magnitude,probability,score,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_offset,isi_ideal,feedback_ideal,iti_ideal,trial_offset
10711,1,1,CEV,scram,64,0.561714285714286,0,2368,0.000522412708960474,2.36992019938771,2.67045672005042,3.52119277731981,4.82135271385778,0.3,0.85,1.3,4.87026479630731
10711,1,2,CEV,scram,48,0.738428571428571,0,1131,4.87142723449506,1.1307970705675,1.43092013092246,2.28113656898495,3.33129685476888,0.3,0.85,1.05,3.34942485706415
10711,1,3,CEV,scram,69,0.514857142857143,69,2696,8.22095461853314,2.69637118687388,2.99651492014527,3.84670872974675,5.096866501146,0.3,0.85,1.25,5.12194119638298
10711,1,4,CEV,scram,44,0.803857142857143,44,673,13.3430240434827,0.67328612995334,0.973427907796577,1.82364909513853,2.97379555227235,0.3,0.85,1.15,2.99225907213986
10711,1,5,CEV,scram,87,0.426857142857143,87,3312,16.3353834076552,3.31242741749156,3.61254209687468,4.46275043336209,5.71289842703845,0.3,0.85,1.25,5.75344939087518
10711,1,6,CEV,scram,52,0.703714285714286,52,1374,22.0889425890055,1.37420482211746,1.67431559041142,2.52452588255983,4.02467213012278,0.3,0.85,1.5,4.06104658555705
10711,1,7,CEV,scram,81,0.436571428571429,81,3244,26.1500961714191,3.24456320563331,3.54471643746365,4.39493678661529,5.79508317401633,0.3,0.85,1.4,5.81483652256429
10711,1,8,CEV,scram,65,0.593714285714286,0,2144,31.9650416463846,2.14460999926087,2.44474507228006,3.29495676117949,4.29509867867455,0.3,0.85,1,4.31481012247968
10711,1,9,CEV,scram,105,0.362714285714286,105,3761,36.279957927647,3.76106013474055,4.06117537280079,4.91137421096209,6.41152325225994,0.3,0.85,1.5,6.43170179449953
10711,1,10,CEV,scram,38,0.855428571428571,38,312,42.7117664396064,0.311743531608954,0.611860445933416,1.46207660471555,2.71222906815819,0.3,0.85,1.25,2.73312613752205
10711,1,11,CEV,scram,48,0.727142857142857,48,1210,45.445000412059,1.21053066803142,1.5106702108169,2.36088162043598,3.86102926486637,0.3,0.85,1.5,3.8813885563286
10711,1,12,CEV,scram,74,0.52,0,2660,49.3264917747583,2.66059345530812,2.96070450299885,3.81091200141236,5.06106362678111,0.3,0.85,1.25,5.08235627715476
10711,1,13,CEV,scram,55,0.724714285714286,55,1227,54.408959518536,1.22693722252734,1.52705385745503,2.37726582575124,3.37741947651375,0.3,0.85,1,3.39865010778885
10711,1,14,CEV,scram,42,0.881857142857143,42,127,57.8077099184738,0.127481006667949,0.427585628814995,1.27779927337542,2.32795592735056,0.3,0.85,1.05,2.34960616496392
10711,1,15,CEV,scram,98,0.391571428571429,98,3559,60.1574264327064,3.55914564558771,3.85925306146964,4.70946838206146,5.95961805200204,0.3,0.85,1.25,5.98103222611826
10711,1,16,CEV,scram,45,0.865142857142857,45,244,66.1385623032693,0.243777351570316,0.543902088189498,1.39411601203028,2.49426309776027,0.3,0.85,1.1,2.51607285288628
10711,1,17,CEV,scram,54,0.646285714285714,0,1776,68.6547413148219,1.77626681607217,2.07638317160308,2.92660491773859,4.27675193361938,0.3,0.85,1.35,4.29875752364751
10711,1,18,CEV,scram,61,0.603428571428571,61,2076,72.9536030417075,2.07590853027068,2.37603298737668,3.22623825096525,4.72639092395548,0.3,0.85,1.5,4.74877058400307
10711,1,19,CEV,scram,46,0.898714285714286,46,9,77.7024825781118,0.00945539167150855,0.309549677418545,1.15975382342003,2.60991019802168,0.3,0.85,1.45,2.6323379088426
10711,1,20,CEV,scram,75,0.517857142857143,75,2675,80.3349235727219,2.67530454287771,2.97542425082065,3.82563007308636,5.27578868262935,0.3,0.85,1.45,5.29851894581225
10711,1,21,CEV,scram,53,0.698857142857143,53,1408,85.633549235994,1.40867624233942,1.70881466777064,2.55902104871348,3.55916408367921,0.3,0.85,1,3.60510036884807
10711,1,22,CEV,scram,101,0.378428571428571,0,3651,89.2387616302585,3.6515381145291,3.95165949861985,4.80188208282925,5.80202735273633,0.3,0.85,1,5.82487494917586
10711,1,23,CEV,scram,45,0.848714285714286,45,359,95.0637382684508,0.359031943953596,0.659133772482164,1.50936389958952,2.70951978524681,0.3,0.85,1.2,2.73317558516283
10711,1,24,CEV,scram,46,0.803571428571429,46,675,97.7970177773386,0.674791069817729,0.974887590506114,1.82508726674132,3.02522750804201,0.3,0.85,1.2,3.04901237448212
10711,1,25,CEV,scram,64,0.570428571428572,64,2307,100.846135751926,2.30748041998595,2.60761744854972,3.45783193106763,4.8079800644191,0.3,0.85,1.35,4.83206496911589
10711,1,26,CEV,scram,56,0.689428571428572,56,1474,105.67830995284,1.47399292362388,1.7741137490375,2.62433158396743,3.72447559668217,0.3,0.85,1.1,3.74849401239771
10711,1,27,CEV,scram,74,0.515714285714286,74,2690,109.42690900655,2.69040283060167,2.99052197975107,3.84073338937014,5.09088166232686,0.3,0.85,1.25,5.11518475110643
10711,1,28,CEV,scram,44,0.899,44,7,114.542199637042,0.00762415339704603,0.307730731205083,1.157945213723,2.40809376619291,0.3,0.85,1.25,2.43258570577018
10711,1,29,CEV,scram,54,0.663285714285714,54,1657,116.974892619066,1.65693433093838,1.95702833740506,2.80723695328925,3.80737719452009,0.3,0.85,1,3.83207474683877
10711,1,30,CEV,scram,51,0.765714285714286,51,940,120.807069334202,0.940406392444856,1.24053196702152,2.09073052578606,3.44087139563635,0.3,0.85,1.35,3.46582205279265
10711,1,31,CEV,scram,81,0.451571428571429,0,3139,124.272990840953,3.13930569391232,3.43941506533884,4.28962004953064,5.63976455107331,0.3,0.85,1.35,5.66504569724202
10711,1,32,CEV,scram,84,0.415857142857143,84,3389,129.938140182639,3.38884886202868,3.68898393504787,4.53920428431593,5.58935255731922,0.3,0.85,1.05,5.61476723989472
10711,1,33,CEV,scram,52,0.703857142857143,52,1373,135.553011066979,1.37280045379885,1.67291876487434,2.52313240931835,4.02327781892382,0.3,0.85,1.5,4.04887604434043
10711,1,34,CEV,scram,46,0.856285714285714,46,306,139.601990197087,0.306189473718405,0.606325105531141,1.45654992456548,2.85669938498177,0.3,0.85,1.4,2.88271861360408
10711,1,35,CEV,scram,71,0.544571428571429,71,2488,142.4848141314,2.48838776990306,2.78850719856564,3.63871804939117,4.98886590334587,0.3,0.85,1.35,5.01515555742662
10711,1,36,CEV,scram,75,0.487428571428571,0,2888,147.500072215917,2.88798688095994,3.18809736985713,4.03829536994454,5.08843833499122,0.3,0.85,1.05,5.115024954197
10711,1,37,CEV,scram,57,0.608857142857143,57,2038,152.615206122515,2.03812914772425,2.33824215095956,3.18846138264053,4.53862236684654,0.3,0.85,1.35,4.56557188136503
