id,run,trial,rewFunc,emotion,magnitude,probability,score,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_offset,isi_ideal,feedback_ideal,iti_ideal,trial_offset
11275,1,1,CEV,scram,67,0.537857142857143,0,2535,0.000531631812918931,2.53686795389513,2.83736815716838,3.68808996677399,4.98824627156137,0.3,0.85,1.3,5.03481839172309
11275,1,2,CEV,scram,46,0.778714285714286,0,849,5.03596602362813,0.849648488860112,1.14975478727138,1.99993043806171,3.05003317462979,0.3,0.85,1.05,3.0680200975039
11275,1,3,CEV,scram,53,0.657571428571429,53,1697,8.10409674973926,1.69686063454719,1.9969560377067,2.84712861548178,4.09724504093174,0.3,0.85,1.25,4.12091425026301
11275,1,4,CEV,scram,54,0.656,54,1708,12.2251101746224,1.70782515656902,2.00794961373322,2.85811548674246,4.00822674389929,0.3,0.85,1.15,4.03093521663686
11275,1,5,CEV,scram,57,0.653571428571429,57,1725,16.25616691506,1.72542990802322,2.02553201594856,2.87570654932642,4.12584225094179,0.3,0.85,1.25,4.14443539612694
11275,1,6,CEV,scram,58,0.626714285714286,58,1913,20.4007076318376,1.91280009050388,2.21289437625092,3.0630907000741,4.56323052232619,0.3,0.85,1.5,4.58203319140011
11275,1,7,CEV,scram,55,0.622,55,1946,24.9828377629165,1.94583278044593,2.24592650739942,3.09608036774443,4.49618345347699,0.3,0.85,1.4,4.51526800193824
11275,1,8,CEV,scram,60,0.653,60,1729,29.4982024251949,1.72903846716508,2.0291294005001,2.87931007990846,3.87945283547742,0.3,0.85,1,3.89911008242052
11275,1,9,CEV,scram,58,0.669714285714286,58,1612,33.3974217393552,1.6119230237673,1.91202876344323,2.76225497934502,4.26240932859946,0.3,0.85,1.5,4.28212691837689
11275,1,10,CEV,scram,49,0.679285714285714,49,1545,37.6796478323522,1.5449611612712,1.84505153587088,2.69522327557206,3.94535730098141,0.3,0.85,1.25,3.96515702415491
11275,1,11,CEV,scram,54,0.648428571428571,54,1761,41.6449023549212,1.76166468084557,2.06175198243,2.9119463507086,4.41206577932462,0.3,0.85,1.5,4.43210380087839
11275,1,12,CEV,scram,60,0.643714285714286,0,1794,46.0771025368012,1.79466999298893,2.09476120566251,2.94493434223114,4.19507032318506,0.3,0.85,1.25,4.21547710674349
11275,1,13,CEV,scram,58,0.688857142857143,58,1478,50.2926765832235,1.47780849243281,1.77790221938631,2.62806781305699,3.62819743849104,0.3,0.85,1,3.648687472858
11275,1,14,CEV,scram,54,0.684142857142857,54,1511,53.9414612750988,1.51114401413361,1.81123829988064,2.6613943951088,3.71150663006119,0.3,0.85,1.05,3.73232687398558
11275,1,15,CEV,scram,60,0.655571428571429,60,1711,57.6738973808242,1.71074787440011,2.01083489658777,2.86100188712589,4.11110546172131,0.3,0.85,1.25,4.13221764221089
11275,1,16,CEV,scram,86,0.441428571428571,86,3210,61.8062250928488,3.20990880130557,3.51001342351083,4.36017454735702,5.46031269337982,0.3,0.85,1.1,5.482265204133
11275,1,17,CEV,scram,87,0.413,0,3409,67.2886148937978,3.40898689639289,3.7090901217889,4.55925795040093,5.90939071867615,0.3,0.85,1.35,5.93113482301123
11275,1,18,CEV,scram,79,0.465428571428571,79,3042,73.2198469358846,3.04259787208866,3.34268824668834,4.19288401177619,5.69302886258811,0.3,0.85,1.5,5.7151042939513
11275,1,19,CEV,scram,87,0.448714285714286,0,3159,78.9350492869853,3.15877269319026,3.45887284557102,4.30907224246766,5.75919062341563,0.3,0.85,1.45,5.78130963572767
11275,1,20,CEV,scram,82,0.475,0,2975,84.7164580973331,2.97557762230281,3.27567023184383,4.12583163502859,5.57595308899181,0.3,0.85,1.45,5.59845706645865
11275,1,21,CEV,scram,68,0.546428571428571,68,2475,90.3150154558825,2.47532577463426,2.77545246673981,3.62562560325023,4.62574405409396,0.3,0.85,1,4.64889196812874
11275,1,22,CEV,scram,77,0.501285714285714,0,2791,94.9640177732217,2.79135616397252,3.09144793543965,3.94162610050989,4.94176829734351,0.3,0.85,1,4.96489134791773
11275,1,23,CEV,scram,49,0.777428571428571,49,858,99.9290247783065,0.858672820148058,1.15876459161518,2.00893661065493,3.20906511862995,0.3,0.85,1.2,3.23189064534381
11275,1,24,CEV,scram,60,0.617857142857143,60,1975,103.161016553815,1.97526445396943,2.27536069526104,3.12553020002088,4.32567127945367,0.3,0.85,1.2,4.34943826659583
11275,1,25,CEV,scram,67,0.541857142857143,67,2507,107.510555671179,2.50744913110975,2.80758057243656,3.65780678833835,5.00793061690638,0.3,0.85,1.35,5.03138248017058
11275,1,26,CEV,scram,76,0.501285714285714,0,2791,112.542036487896,2.79088012583088,3.09096770681208,3.94113525602734,5.04127843060996,0.3,0.85,1.1,5.06503256701399
11275,1,27,CEV,scram,99,0.382285714285714,99,3624,117.607168788207,3.62380749511067,3.92389703163644,4.77406262530712,6.02420922211604,0.3,0.85,1.25,6.04826060298365
11275,1,28,CEV,scram,99,0.387142857142857,99,3590,123.655539740401,3.59015154163353,3.89024219557177,4.74041225912515,5.990527846443,0.3,0.85,1.25,6.01470410346519
11275,1,29,CEV,scram,95,0.382428571428571,95,3623,129.670341621619,3.62330994586227,3.92340059980052,4.77356759033864,5.77370950777549,0.3,0.85,1,5.79854813951533
11275,1,30,CEV,scram,102,0.375285714285714,102,3673,135.468991170696,3.67274667590391,3.97284682828467,4.82305041560903,6.17316837754333,0.3,0.85,1.35,6.19834336487111
