id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed,alpha_ffx,beta_ffx,alpha_transformed_ffx,beta_transformed_ffx
10637,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1459.655084889,-1456.30493994554,-1458.30493994554,-1462.29640449265,0.00300810559348907,4.15065074140341,4.12042800110099,0.98449018289636,61.5855953270614,1.18572143610262,3.98816199848289,0.76597497333156,53.9556276442089
10638,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1209.28363288702,-1201.28538135167,-1203.28538135167,-1207.27684589878,0.0516071215407168,-2.71874665258214,2.40813202214167,0.0618761800326577,11.1131825651763,-2.68234822744649,2.41137304366818,0.0640230169153448,11.1492590598665
10662,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1291.80493982558,-1287.08207261802,-1289.08207261802,-1293.07353716513,0.0387487944767181,5.90547196448385,2.9085232985885,0.997282907095616,18.3297110616643,3.20608081486913,2.88893903467189,0.96106246887068,17.974229447406
10711,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1421.73358649407,-1415.57217834368,-1417.57217834368,-1421.56364289079,0.00585535236526291,-2.63688076529141,2.49693368888755,0.0668022251379405,12.1451958571131,-2.5232970208613,2.52689192159955,0.0742410249155683,12.5145494270095
10717,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1447.65255024787,-1444.06673445,-1446.06673445,-1450.0581989971,0.00524490399334721,4.09663458003827,3.89145891443138,0.983643442356935,48.9822953989864,1.7098078323187,3.78844701158688,0.846811357542922,44.1877239397284
10767,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1423.50620138653,-1417.36196153763,-1419.36196153763,-1423.35342608474,0.00654591043619857,-0.594105223978158,3.24521348391697,0.355693480662727,25.6671890074208,-0.598751509400946,3.21358940742272,0.354629380662829,24.8681882767293
10772,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1306.69901124039,-1299.88385843594,-1301.88385843594,-1305.87532298305,0.0182911078033016,-2.7764660547993,2.43058487524716,0.0586092342407453,11.3655275521621,-2.68279704846176,2.47088219487268,0.0639961269954631,11.8328811555094
10811,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1352.15779859414,-1347.9779138874,-1349.9779138874,-1353.96937843451,0.0161349204232152,4.96359608034481,3.19442073489763,0.993060735800452,24.3960378251348,2.40143138558741,3.16258602907224,0.916936388709403,23.6316290581004
10814,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1435.13918750907,-1431.32256443645,-1433.32256443645,-1437.31402898355,0.00681893290338109,4.78967904257498,3.95250938653198,0.991753445383647,52.0658564008051,2.28236915673136,3.90893448207511,0.907406295915969,49.8458120614391
10822,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1376.532202403,-1369.34810702138,-1371.34810702138,-1375.33957156849,0.0192072718107524,-1.42750469569335,3.40093707528238,0.193487779317616,29.9921918249096,-1.26291437406915,3.39572409095957,0.220472606947019,29.8362498138954
10841,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1434.83078143322,-1428.49006297497,-1430.49006297497,-1434.48152752208,0.00600594508772434,-2.23409862659921,3.04270595150601,0.0967299382491943,20.9618884144986,-2.15289334678386,3.03833950010542,0.104061160160152,20.8705588855536
10873,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1342.21196222461,-1337.84054541331,-1339.84054541331,-1343.83200996042,0.0216758347627271,5.53484388640664,3.02508765484601,0.996068691444981,20.5958099546257,2.9380041709152,3.00985035090627,0.949693460029131,20.2843641613833
10891,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1429.30382406969,-1422.87262204467,-1424.87262204467,-1428.86408659178,0.00723594669704031,-2.06006567142729,2.81004373692361,0.113039245597186,16.6106447013979,-1.87951769078397,2.81658655325475,0.132444282395073,16.7196814134371
10895,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1455.65154262177,-1452.29544917215,-1454.29544917215,-1458.28691371926,0.00328375228931488,3.62362207957808,3.99543595473675,0.974007781285112,54.3495293946014,1.08934739680736,3.81414729645346,0.748258812252082,45.3380799539565
10997,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1411.49952028825,-1405.22687750424,-1407.22687750424,-1411.21834205135,0.00607203256693223,-0.97557796918503,3.12809724643603,0.273770091865346,22.8304973773853,-0.882003239853343,3.11661325967015,0.29276283044943,22.569811966518
11162,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1372.33810355553,-1368.18003416745,-1370.18003416745,-1374.17149871455,0.0172565731599901,4.77842547455174,3.34364623684502,0.991660896338747,28.3222081403932,2.16422928130496,3.31868953332025,0.896990982979747,27.624126331265
11178,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1416.60027769426,-1412.60245442394,-1414.60245442394,-1418.59391897105,0.0102186763197378,5.3085709676549,3.50515200001001,0.995075377985256,33.2865030166893,2.77734996885607,3.48324372842532,0.941439515979902,32.565183550761
11216,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1368.83116926166,-1361.6348881774,-1363.6348881774,-1367.62635272451,0.0142296651797835,-2.14416713556209,2.81215994215378,0.104877541536382,16.6458334547713,-2.08840561447265,2.81123971991877,0.110228852076125,16.6305226344651
11228,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1365.69210154255,-1361.37455336446,-1363.37455336446,-1367.36601791157,0.0205167897984918,5.59558725213346,3.42124606577162,0.99629952684942,30.6075302648849,2.81562797191786,3.42180335047629,0.943514511030184,30.6245921270652
11229,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1420.30684532134,-1413.65841754289,-1415.65841754289,-1419.64988209,0.0100676304554753,-2.60374501805598,2.9189712957093,0.0688977859160826,18.5222237649154,-2.51954840640709,2.92520798354914,0.0744990760938522,18.6381020654282
11243,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1282.23089217049,-1277.67639154396,-1279.67639154396,-1283.66785609107,0.0401702130532512,4.96174960211732,2.96895862589439,0.99304799992292,19.4716317811312,2.54910100196795,2.94922468511745,0.927513095930817,19.0911463388971
11246,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1036.47485260133,-1028.39924083117,-1030.39924083117,-1034.39070537828,0.0855880226340632,-1.93263812850911,2.28756308615821,0.126458866623204,9.85090260644875,-1.91525955957919,2.28075491449569,0.128391120180541,9.784063753836
11250,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1300.06416648762,-1295.47464791204,-1297.47464791204,-1301.46611245915,0.0334063303213269,5.63455814192199,2.88220625281534,0.9964404602703,17.8536193578163,3.01814763007707,2.86891592647428,0.953387275306139,17.617908735238
11252,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1428.23164897138,-1422.56467996053,-1424.56467996053,-1428.55614450764,0.0094216401817353,-4.53427484891008,1.68430204060212,0.0106206789934796,5.38868853369715,-3.76036747274616,2.31239043907848,0.0227457736976312,10.0985357599846
11253,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1137.60734421841,-1129.19966272936,-1131.19966272936,-1135.19112727647,0.0758363936560741,-1.95032451539674,2.50961850566084,0.124517977398286,12.3002366946517,-1.84109600457044,2.50000445964716,0.136921721603961,12.1825482904492
11255,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1416.99400823327,-1412.66878958297,-1414.66878958297,-1418.66025413008,0.00849728351756096,2.56553290321279,3.49591951731445,0.92861012345822,32.9806002474974,0.741651330256037,3.36898704544815,0.677356851106123,29.0490867448195
