id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
10637,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1461.03056630444,-1456.54180285408,-1458.54180285408,-1462.53326740118,0.00296083767207267,3.2084388920784,4.11194148894621,0.961150615544933,61.0651598881132
10638,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1209.23888364562,-1201.28549071849,-1203.28549071849,-1207.27695526559,0.0516071131079738,-2.71855926085781,2.40742748761003,0.0618870585503222,11.1053557017743
10662,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1293.5023549212,-1287.09967058221,-1289.09967058221,-1293.09113512932,0.0389641036412975,6.01869775144422,2.88952730804153,0.997573068635421,17.9848063186705
10711,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1421.71024983684,-1415.57045862215,-1417.57045862215,-1421.56192316926,0.00584743404139165,-2.64933504603554,2.48615777646663,0.0660300053996206,12.0150229159694
10717,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1448.95443353528,-1444.21492721682,-1446.21492721682,-1450.20639176393,0.00523079188812769,3.43904956867733,3.87798420610937,0.968902892029235,48.3267001524551
10767,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1423.69227998014,-1417.3621332996,-1419.3621332996,-1423.3535978467,0.00653504500212332,-0.601317572241359,3.24067462236974,0.354042311892331,25.5509531789261
10772,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1306.66008050986,-1299.88194164256,-1301.88194164256,-1305.87340618967,0.0183062030191333,-2.78647753282922,2.42519137410525,0.0580592937965499,11.3043925803019
10811,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1353.49351577545,-1348.26734225323,-1350.26734225323,-1354.25880680034,0.0160585834523432,4.0538261570042,3.18851510899462,0.982940245133973,24.2523885391935
10814,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1436.6495916511,-1431.64942455994,-1433.64942455994,-1437.64088910705,0.00675931182142386,3.80287168598734,3.95052987661976,0.978180105955345,51.9628934636704
10822,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1376.75802994141,-1369.36918189387,-1371.36918189387,-1375.36064644098,0.0192206928435705,-1.37898972477152,3.40318798619965,0.201171303391169,30.0597776131797
10841,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1434.95573604133,-1428.4897908453,-1430.4897908453,-1434.48125539241,0.00600593779199232,-2.23902302080228,3.03777813652642,0.0963005314972284,20.8588462017665
10873,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1343.6474088429,-1338.12780659553,-1340.12780659553,-1344.11927114264,0.0215840956688569,4.76439746564591,3.01756027947973,0.991544087114741,20.4413595943235
