,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1,1,1,0,2.9887963414344085,70,0,0.5164285714285715,35.96714285714286,2685,scram
1,CEV,1,2,1,0,6.102412178084251,43,0,0.8137142857142857,35.37257142857143,604,scram
2,CEV,1,3,1,0,9.368034764194817,46,46,0.7504285714285714,34.748714285714286,1047,scram
3,CEV,1,4,1,0,13.050125085730087,49,49,0.7202857142857143,35.559428571428576,1258,scram
4,CEV,1,5,1,0,16.46571310040781,50,50,0.7434285714285714,37.0,1096,scram
5,CEV,1,6,1,0,19.99782933305778,49,49,0.741,36.259,1113,scram
6,CEV,1,7,1,0,24.14646246939219,50,50,0.6887142857142857,34.24514285714286,1479,scram
7,CEV,1,8,1,0,28.11184438245664,56,56,0.7005714285714286,39.10171428571429,1396,scram
8,CEV,1,9,1,0,31.710650934685873,56,56,0.6958571428571428,39.08757142857143,1429,scram
9,CEV,1,10,1,0,36.459095499567866,56,56,0.6031428571428572,33.98428571428572,2078,scram
10,CEV,1,11,1,0,41.57408385702638,69,0,0.5151428571428571,35.45457142857143,2694,scram
11,CEV,1,12,1,0,45.45613730236664,54,0,0.727,39.181,1211,scram
12,CEV,1,13,1,0,48.70508011493075,51,51,0.7817142857142857,40.12685714285714,828,scram
13,CEV,1,14,1,0,51.53751999206588,46,46,0.8055714285714286,37.0,661,scram
14,CEV,1,15,1,0,54.58646783320228,51,51,0.7818571428571428,40.12742857142857,827,scram
15,CEV,1,16,1,0,57.75212296534892,49,49,0.7937142857142857,38.58742857142857,744,scram
16,CEV,1,17,1,0,60.83440409325749,44,44,0.7842857142857143,34.64714285714286,810,scram
17,CEV,1,18,1,0,64.18331156613476,47,47,0.7818571428571428,37.0,827,scram
18,CEV,1,19,1,0,67.61552264324109,52,0,0.7914285714285714,40.95714285714285,760,scram
19,CEV,1,20,1,0,71.06436879547527,51,51,0.7832857142857143,40.13314285714286,817,scram
20,CEV,1,21,1,0,74.28000458158795,45,45,0.8152857142857143,37.0,593,scram
21,CEV,1,22,1,0,77.1790487338476,49,49,0.7962857142857143,39.38885714285714,726,scram
22,CEV,1,23,1,0,80.12804336864065,48,48,0.7891428571428571,37.789142857142856,776,scram
23,CEV,1,24,1,0,83.27703073994053,47,47,0.7892857142857143,36.99999999999999,775,scram
24,CEV,1,25,1,0,86.49265395462271,46,46,0.7798571428571428,36.220142857142854,841,scram
25,CEV,1,26,1,0,89.57498564761727,47,47,0.8202857142857143,38.64057142857143,558,scram
26,CEV,1,27,1,0,92.6572734802885,49,49,0.7845714285714286,38.56914285714286,808,scram
27,CEV,1,28,1,0,95.92287343782527,50,50,0.7798571428571428,39.339571428571425,841,scram
28,CEV,1,29,1,0,99.08850622076261,45,45,0.7941428571428572,35.41171428571428,741,scram
29,CEV,1,30,1,0,102.07090957090895,50,50,0.7847142857142857,39.35414285714286,807,scram
30,CEV,1,31,1,0,105.1364977951107,44,44,0.8228571428571428,36.177142857142854,540,scram
31,CEV,1,32,1,0,108.45209181613882,42,42,0.7871428571428571,33.06428571428572,790,scram
32,CEV,1,33,1,0,111.51775155780979,46,46,0.78,36.220000000000006,840,scram
33,CEV,1,34,1,0,114.8332955724818,49,49,0.8087142857142857,39.42614285714286,639,scram
34,CEV,1,35,1,0,118.1156010051559,49,49,0.7991428571428572,39.39742857142857,706,scram
35,CEV,1,36,1,0,121.39782402512037,46,46,0.792,36.208,756,scram
36,CEV,1,37,1,0,124.31354012870361,42,42,0.8015714285714286,33.79371428571429,689,scram
37,CEV,1,38,1,0,127.49583452645538,46,46,0.8064285714285715,37.0,655,scram
38,CEV,1,39,1,0,130.56147974114037,51,51,0.7874285714285714,40.14971428571428,788,scram
39,CEV,1,40,1,0,133.67713661931884,42,42,0.8088571428571428,33.76457142857143,638,scram
40,CEV,1,41,1,0,136.9094046869086,44,44,0.7851428571428571,34.64457142857143,804,scram
41,CEV,1,42,1,0,140.05835462328332,50,50,0.7755714285714286,38.55114285714286,871,scram
42,CEV,1,43,1,0,143.3406209448408,49,0,0.7922857142857143,38.58457142857143,754,scram
43,CEV,1,44,1,0,146.43966370027465,52,52,0.7684285714285715,40.07371428571429,921,scram
44,CEV,1,45,1,0,149.82182651705716,45,45,0.7924285714285715,35.41514285714286,753,scram
45,CEV,1,46,1,0,153.03743324919787,44,44,0.7875714285714286,34.63728571428572,787,scram
46,CEV,1,47,1,0,156.28635231572707,50,50,0.79,39.370000000000005,770,scram
47,CEV,1,48,1,0,159.5853570775057,45,45,0.7971428571428572,36.20285714285714,720,scram
48,CEV,1,49,1,0,162.61764581811394,48,48,0.8140000000000001,39.442,602,scram
49,CEV,1,50,1,0,165.93320715342315,42,42,0.7948571428571428,33.02571428571429,736,scram
50,CEV,1,51,1,0,169.0988572569977,50,0,0.795,39.385000000000005,735,scram
51,CEV,1,52,1,0,172.11449136691954,50,50,0.795,39.385000000000005,735,scram
52,CEV,1,53,1,0,175.24678779006808,50,50,0.7925714285714286,39.37771428571429,752,scram
53,CEV,1,54,1,0,178.4124281158638,49,49,0.8092857142857143,39.42785714285714,635,scram
54,CEV,1,55,1,0,181.5780399464179,44,44,0.8022857142857143,35.39542857142857,684,scram
55,CEV,1,56,1,0,184.8603068267057,51,51,0.8069999999999999,41.035,651,scram
56,CEV,1,57,1,0,187.75933645197938,46,0,0.8047142857142857,37.0,667,scram
57,CEV,1,58,1,0,190.59176794816085,48,0,0.8212857142857143,39.463857142857144,551,scram
58,CEV,1,59,1,0,193.59078597978214,43,43,0.8048571428571428,34.58542857142857,666,scram
59,CEV,1,60,1,0,196.7230597743569,42,42,0.8142857142857143,34.55714285714286,600,scram
60,CEV,1,61,1,0,199.55550495942907,48,48,0.8285714285714285,39.48571428571428,500,scram
61,CEV,1,62,1,0,202.47118223126108,45,45,0.7952857142857143,35.40942857142857,733,scram
62,CEV,1,63,1,0,205.73676961736737,40,0,0.8168571428571428,32.91571428571429,582,scram
63,IEV,2,64,2,0,0.9888784747781756,21,21,0.8856828372723491,18.55152877605431,688,happy
64,IEV,2,65,2,0,3.837915154021175,21,21,0.8905142310230232,18.599697242370507,564,happy
65,IEV,2,66,2,0,6.953558902039731,19,19,0.8931707858849408,17.21206132186365,480,happy
66,IEV,2,67,2,0,10.685638258493782,30,30,0.8300360279518658,24.917542250394156,1447,happy
67,IEV,2,68,2,0,13.801284241433677,20,20,0.8916479975396078,17.500377230236683,530,happy
68,IEV,2,69,2,0,16.916928268816264,20,20,0.8931707858849408,18.10523210774859,480,happy
69,IEV,2,70,2,0,19.63269577558094,14,14,0.8945255241896644,12.474682666835326,430,happy
70,IEV,2,71,2,0,22.31515821144876,22,22,0.8940834810556749,19.716840275591515,447,happy
71,IEV,2,72,2,0,25.530789807085057,15,15,0.8899527123657069,13.36111547854576,580,happy
72,IEV,2,73,2,0,28.246548374165286,20,20,0.8957391267468485,17.598875443780205,379,happy
