,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1,1,1,0,1.3728535330155864,48,0,0.7472857142857143,35.505428571428574,1069,scram
1,CEV,1,2,1,0,4.303025105095003,42,0,0.8398571428571429,35.32028571428572,421,scram
2,CEV,1,3,1,0,8.668261748331133,59,59,0.5934285714285714,35.21971428571429,2146,scram
3,CEV,1,4,1,0,14.233083534345496,80,0,0.4514285714285714,36.097142857142856,3140,scram
4,CEV,1,5,1,0,20.48103795311181,109,109,0.33871428571428575,37.00000000000001,3929,scram
5,CEV,1,6,1,0,23.896614513825625,48,48,0.7577142857142857,36.242285714285714,996,scram
6,CEV,1,7,1,0,28.478401863889303,55,55,0.6268571428571428,34.492571428571424,1912,scram
7,CEV,1,8,1,0,34.076558333530556,82,0,0.47085714285714286,38.41257142857143,3004,scram
8,CEV,1,9,1,0,40.14123890042538,111,111,0.34371428571428575,38.03114285714286,3894,scram
9,CEV,1,10,1,0,46.705787467362825,103,0,0.34371428571428575,35.28142857142858,3894,scram
10,CEV,1,11,1,0,52.9703607581323,102,0,0.3514285714285714,35.94571428571428,3840,scram
11,CEV,1,12,1,0,56.619208027783316,52,52,0.7604285714285715,39.281285714285715,977,scram
12,CEV,1,13,1,0,60.884460734494496,62,62,0.6365714285714286,39.546285714285716,1844,scram
13,CEV,1,14,1,0,66.01607215439435,78,0,0.4771428571428571,37.0,2960,scram
14,CEV,1,15,1,0,72.13077164831338,112,112,0.34385714285714286,38.37542857142857,3893,scram
15,CEV,1,16,1,0,78.44531721208477,110,110,0.344,37.687999999999995,3892,scram
16,CEV,1,17,1,0,84.59328266576631,104,0,0.3464285714285714,35.96071428571429,3875,scram
17,CEV,1,18,1,0,91.05789953749627,110,110,0.33685714285714285,37.0,3942,scram
18,CEV,1,19,1,0,97.60566859750543,112,0,0.3464285714285714,38.732142857142854,3875,scram
19,CEV,1,20,1,0,104.17018866923172,114,0,0.33699999999999997,38.348,3941,scram
20,CEV,1,21,1,0,107.8023483431316,49,49,0.7558571428571429,37.00000000000001,1009,scram
21,CEV,1,22,1,0,113.90035996190272,112,0,0.3392857142857143,38.017857142857146,3925,scram
22,CEV,1,23,1,0,117.03261559776729,49,49,0.763,37.763,959,scram
23,CEV,1,24,1,0,123.38055060070474,111,0,0.3322857142857143,37.0,3974,scram
24,CEV,1,25,1,0,126.61282257939456,47,47,0.7774285714285715,36.22257142857143,858,scram
25,CEV,1,26,1,0,131.1115739570232,62,0,0.6178571428571429,38.23571428571429,1975,scram
26,CEV,1,27,1,0,137.25930725829676,109,109,0.34671428571428575,37.693428571428576,3873,scram
27,CEV,1,28,1,0,143.59054432890844,110,110,0.34457142857142853,38.03371428571428,3888,scram
28,CEV,1,29,1,0,149.92181129165692,106,106,0.34199999999999997,36.315999999999995,3906,scram
29,CEV,1,30,1,0,155.91989149455912,108,108,0.35385714285714287,38.061571428571426,3823,scram
30,CEV,1,31,1,0,162.3177037863643,106,0,0.34685714285714286,36.65314285714286,3872,scram
31,CEV,1,32,1,0,168.64899142208742,99,99,0.35642857142857143,35.21785714285714,3805,scram
32,CEV,1,33,1,0,174.7469876757823,106,106,0.34685714285714286,36.65314285714286,3872,scram
33,CEV,1,34,1,0,181.32813611783786,111,0,0.3421428571428572,38.026428571428575,3905,scram
34,CEV,1,35,1,0,187.77606315881712,110,110,0.347,38.041,3871,scram
35,CEV,1,36,1,0,194.15724735963158,105,0,0.3492857142857143,36.65071428571429,3855,scram
36,CEV,1,37,1,0,200.1885898906039,100,0,0.35657142857142854,35.57371428571428,3804,scram
37,CEV,1,38,1,0,203.7041414481355,49,49,0.7588571428571429,37.00000000000001,988,scram
38,CEV,1,39,1,0,209.81877836427884,109,109,0.35185714285714287,38.40742857142857,3837,scram
39,CEV,1,40,1,0,216.18332888674922,103,0,0.34485714285714286,35.62057142857143,3886,scram
40,CEV,1,41,1,0,222.41463063040283,101,0,0.35657142857142854,35.93028571428571,3804,scram
41,CEV,1,42,1,0,228.51264867460122,106,0,0.3542857142857143,37.70857142857143,3820,scram
42,CEV,1,43,1,0,232.97783098131185,61,0,0.6234285714285714,38.246857142857145,1936,scram
43,CEV,1,44,1,0,235.99350727535784,51,51,0.7804285714285715,40.12171428571429,837,scram
44,CEV,1,45,1,0,238.90925606462406,41,41,0.8591428571428572,35.28171428571429,286,scram
45,CEV,1,46,1,0,241.7082805216778,41,41,0.8471428571428572,34.45857142857143,370,scram
46,CEV,1,47,1,0,247.58968276693486,92,92,0.41400000000000003,38.242000000000004,3402,scram
47,CEV,1,48,1,0,253.9209463772131,101,0,0.364,36.636,3752,scram
48,CEV,1,49,1,0,260.2021916193189,109,0,0.34985714285714287,38.04957142857143,3851,scram
49,CEV,1,50,1,0,264.66746080853045,54,54,0.6307142857142858,33.846428571428575,1885,scram
50,CEV,1,51,1,0,269.04933364433236,63,0,0.6211428571428572,38.86342857142858,1952,scram
51,CEV,1,52,1,0,275.2139213223709,110,110,0.3451428571428572,38.035428571428575,3884,scram
52,CEV,1,53,1,0,281.4785205940716,110,0,0.3451428571428572,38.035428571428575,3884,scram
