,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1,1,1,0,2.3723006695508957,59,0,0.6044285714285714,35.79114285714286,2069,scram
1,CEV,1,2,1,0,8.118425665888935,82,0,0.4385714285714286,36.12285714285714,3230,scram
2,CEV,1,3,1,0,11.050810647779144,43,43,0.798,34.606,714,scram
3,CEV,1,4,1,0,14.349721822189167,46,46,0.775,35.45,875,scram
4,CEV,1,5,1,0,17.781921445392072,50,50,0.741,37.0,1113,scram
5,CEV,1,6,1,0,21.597357485443354,52,52,0.7005714285714286,36.29942857142857,1396,scram
6,CEV,1,7,1,0,25.912593081011437,52,52,0.6648571428571428,34.34057142857142,1646,scram
7,CEV,1,8,1,0,30.261163639486767,60,60,0.6458571428571429,38.93757142857143,1779,scram
8,CEV,1,9,1,0,34.30984915676527,62,62,0.6315714285714286,38.89471428571429,1879,scram
9,CEV,1,10,1,0,38.941657110117376,55,55,0.6198571428571429,33.90071428571429,1961,scram
10,CEV,1,11,1,0,43.3735214950284,57,57,0.6141428571428571,35.15757142857143,2001,scram
11,CEV,1,12,1,0,48.10528740391601,64,0,0.6055714285714286,38.81671428571428,2061,scram
12,CEV,1,13,1,0,51.154278825968504,50,50,0.8104285714285714,40.24171428571428,627,scram
13,CEV,1,14,1,0,54.236618899856694,48,48,0.7698571428571428,37.0,911,scram
14,CEV,1,15,1,0,57.23562408075668,51,51,0.789,40.156,777,scram
15,CEV,1,16,1,0,60.66783878963906,51,51,0.7557142857142858,38.511428571428574,1010,scram
16,CEV,1,17,1,0,63.88345306459814,45,0,0.7652857142857143,34.70414285714286,943,scram
17,CEV,1,18,1,0,67.79882806329988,53,53,0.7010000000000001,37.00000000000001,1393,scram
18,CEV,1,19,1,0,72.16409124620259,61,0,0.6582857142857144,40.291428571428575,1692,scram
19,CEV,1,20,1,0,76.32936755928677,58,58,0.6797142857142857,39.718857142857146,1542,scram
20,CEV,1,21,1,0,80.42805943218991,54,54,0.6891428571428572,37.0,1476,scram
21,CEV,1,22,1,0,84.07677791453898,57,0,0.6892857142857143,39.06785714285714,1475,scram
22,CEV,1,23,1,0,86.65930390590802,45,45,0.8415714285714286,37.841571428571434,409,scram
