,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1,1,1,0,1.4392642080783844,48,0,0.7377142857142858,35.52457142857143,1136,scram
1,CEV,1,2,1,0,4.436376969795674,43,0,0.8251428571428572,35.349714285714285,524,scram
2,CEV,1,3,1,0,9.667934891302139,76,76,0.46957142857142853,35.59128571428571,3013,scram
3,CEV,1,4,1,0,15.632629566360265,92,0,0.39428571428571424,36.21142857142856,3540,scram
4,CEV,1,5,1,0,18.398395326919854,44,44,0.8362857142857143,37.0,446,scram
5,CEV,1,6,1,0,21.380741965956986,44,44,0.8195714285714286,36.18042857142857,563,scram
6,CEV,1,7,1,0,24.613007239997387,41,41,0.8197142857142857,33.72114285714286,562,scram
7,CEV,1,8,1,0,27.728647076524794,48,48,0.8221428571428572,39.46642857142857,545,scram
8,CEV,1,9,1,0,30.494414513465017,48,48,0.815,39.44499999999999,595,scram
9,CEV,1,10,1,0,33.660050090402365,40,40,0.8292857142857143,32.85357142857143,495,scram
10,CEV,1,11,1,0,36.40918217273429,40,40,0.8531428571428572,34.44057142857143,328,scram
11,CEV,1,12,1,0,39.44149298314005,47,47,0.8484285714285714,39.54528571428571,361,scram
12,CEV,1,13,1,0,42.2905503353104,48,48,0.839,40.356,427,scram
13,CEV,1,14,1,0,44.77305160323158,43,43,0.8555714285714285,37.0,311,scram
14,CEV,1,15,1,0,47.32221050467342,47,47,0.8532857142857143,40.41314285714286,327,scram
15,CEV,1,16,1,0,50.47119871387258,48,48,0.7961428571428572,38.592285714285715,727,scram
16,CEV,1,17,1,0,53.78679469041526,46,0,0.751,34.747,1043,scram
17,CEV,1,18,1,0,58.385276899673045,61,61,0.6034285714285714,37.0,2076,scram
18,CEV,1,19,1,0,63.05038852710277,65,0,0.6154285714285714,40.07714285714286,1992,scram
19,CEV,1,20,1,0,68.28199421986938,74,74,0.5272857142857144,39.109142857142864,2609,scram
20,CEV,1,21,1,0,71.56424322072417,46,46,0.8058571428571428,37.0,659,scram
21,CEV,1,22,1,0,74.3133560270071,48,48,0.8177142857142857,39.45314285714286,576,scram
22,CEV,1,23,1,0,76.8292009178549,44,44,0.8511428571428572,37.85114285714286,342,scram
23,CEV,1,24,1,0,79.57829137519002,44,44,0.8464285714285714,37.0,375,scram
24,CEV,1,25,1,0,85.42640363518149,91,91,0.4037142857142857,36.59628571428571,3474,scram
25,CEV,1,26,1,0,91.3410492115654,91,0,0.4157142857142857,37.83142857142857,3390,scram
26,CEV,1,27,1,0,97.28916719881818,101,101,0.37528571428571433,37.75057142857143,3673,scram
27,CEV,1,28,1,0,103.28714962396771,98,98,0.38957142857142857,38.16871428571429,3573,scram
28,CEV,1,29,1,0,109.0857824110426,86,86,0.41814285714285715,36.163714285714285,3373,scram
29,CEV,1,30,1,0,114.94998721918091,102,102,0.373,38.119,3689,scram
30,CEV,1,31,1,0,121.29789512371644,104,0,0.354,36.645999999999994,3822,scram
31,CEV,1,32,1,0,127.11264867475256,81,81,0.43014285714285716,34.84928571428571,3289,scram
32,CEV,1,33,1,0,132.87785291159526,93,93,0.39442857142857146,36.60557142857143,3539,scram
33,CEV,1,34,1,0,139.0253909365274,95,0,0.40414285714285714,38.212428571428575,3471,scram
34,CEV,1,35,1,0,145.12339473329484,96,96,0.397,38.191,3521,scram
35,CEV,1,36,1,0,151.10474459733814,90,0,0.4064285714285715,36.59357142857143,3455,scram
36,CEV,1,37,1,0,156.9695559074171,93,0,0.38028571428571434,35.47885714285715,3638,scram
37,CEV,1,38,1,0,159.95185114303604,44,44,0.835,36.99999999999999,455,scram
38,CEV,1,39,1,0,162.53432014398277,47,47,0.8564285714285714,40.425714285714285,305,scram
39,CEV,1,40,1,0,165.3167419321835,39,39,0.8564285714285714,33.574285714285715,305,scram
