,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1,1,1,0,0.9219166121911258,44,0,0.8118571428571428,35.376285714285714,617,scram
1,CEV,1,2,1,0,5.035233807517216,53,0,0.6698571428571429,35.66028571428572,1611,scram
2,CEV,1,3,1,0,9.950254012597725,69,69,0.516,35.452,2688,scram
3,CEV,1,4,1,0,15.165210662176833,72,0,0.503,35.994,2779,scram
4,CEV,1,5,1,0,19.996950170956552,68,68,0.5422857142857143,37.0,2504,scram
5,CEV,1,6,1,0,24.895342285046354,67,67,0.5471428571428572,36.45285714285715,2470,scram
6,CEV,1,7,1,0,30.07696872088127,64,64,0.5424285714285715,34.83028571428572,2503,scram
7,CEV,1,8,1,0,35.09197258297354,70,0,0.552,38.656,2436,scram
8,CEV,1,9,1,0,39.77379722823389,71,71,0.546,38.638000000000005,2478,scram
9,CEV,1,10,1,0,45.03869290649891,65,65,0.5307142857142857,34.34642857142857,2585,scram
10,CEV,1,11,1,0,50.07037123432383,67,0,0.5284285714285715,35.41471428571429,2601,scram
11,CEV,1,12,1,0,55.45194933982566,75,0,0.5141428571428571,38.54242857142857,2701,scram
12,CEV,1,13,1,0,60.55026770150289,75,0,0.519,39.076,2667,scram
13,CEV,1,14,1,0,66.14843087596819,90,0,0.4118571428571428,36.99999999999999,3417,scram
14,CEV,1,15,1,0,71.18011395307258,78,78,0.5,39.0,2800,scram
15,CEV,1,16,1,0,76.46170197613537,77,77,0.4928571428571429,37.98571428571429,2850,scram
16,CEV,1,17,1,0,81.70996509329416,75,0,0.4762857142857143,35.57114285714286,2966,scram
17,CEV,1,18,1,0,87.09154068445787,75,75,0.49157142857142855,37.0,2859,scram
18,CEV,1,19,1,0,92.65640158159658,81,0,0.4882857142857143,39.441428571428574,2882,scram
19,CEV,1,20,1,0,98.25452480674721,82,0,0.47657142857142853,38.906285714285715,2964,scram
20,CEV,1,21,1,0,103.70274965115823,74,74,0.498,36.99999999999999,2814,scram
21,CEV,1,22,1,0,108.65112605085596,76,0,0.5051428571428571,38.51542857142857,2764,scram
22,CEV,1,23,1,0,113.49950203159824,72,72,0.5194285714285714,37.51942857142856,2664,scram
23,CEV,1,24,1,0,118.76446336042136,76,0,0.48857142857142855,37.0,2880,scram
24,CEV,1,25,1,0,123.7628106365446,69,69,0.5267142857142857,36.473285714285716,2613,scram
25,CEV,1,26,1,0,128.87782637169585,72,0,0.5315714285714286,38.06314285714286,2579,scram
26,CEV,1,27,1,0,133.94278993550688,76,76,0.503,38.006,2779,scram
27,CEV,1,28,1,0,139.12442056182772,76,76,0.5077142857142858,38.523142857142865,2746,scram
28,CEV,1,29,1,0,144.2228087647818,69,69,0.5197142857142858,35.960571428571434,2662,scram
29,CEV,1,30,1,0,149.10448702261783,75,75,0.5151428571428571,38.545428571428566,2694,scram
30,CEV,1,31,1,0,154.30278485105373,70,0,0.52,36.480000000000004,2660,scram
31,CEV,1,32,1,0,159.41775365290232,65,65,0.5318571428571428,34.34071428571428,2577,scram
32,CEV,1,33,1,0,164.33280402957462,70,70,0.5175714285714286,36.48242857142857,2677,scram
33,CEV,1,34,1,0,169.61438870010898,73,0,0.5295714285714286,38.58871428571428,2593,scram
34,CEV,1,35,1,0,174.87933047348633,74,74,0.5177142857142858,38.55314285714286,2676,scram
35,CEV,1,36,1,0,180.0109918997623,69,0,0.5295714285714286,36.47042857142857,2593,scram
36,CEV,1,37,1,0,184.89272826560773,67,67,0.5225714285714286,34.90971428571429,2642,scram
37,CEV,1,38,1,0,190.29093306534924,75,0,0.49157142857142855,37.0,2859,scram
38,CEV,1,39,1,0,195.13932720501907,73,73,0.5345714285714286,39.138285714285715,2558,scram
39,CEV,1,40,1,0,200.30429733381607,67,0,0.5178571428571428,34.92857142857142,2675,scram
40,CEV,1,41,1,0,205.3193120912183,67,0,0.5322857142857143,35.40314285714286,2574,scram
41,CEV,1,42,1,0,210.21772068785504,72,72,0.5274285714285714,38.05485714285714,2608,scram
42,CEV,1,43,1,0,215.48269542632625,74,0,0.511,38.022000000000006,2723,scram
43,CEV,1,44,1,0,220.16443598270416,72,0,0.5442857142857143,39.17714285714286,2490,scram
44,CEV,1,45,1,0,225.47933829575777,69,69,0.5181428571428571,35.96371428571428,2673,scram
45,CEV,1,46,1,0,230.72762907017022,71,0,0.4991428571428571,35.50257142857143,2806,scram
46,CEV,1,47,1,0,235.75932555668987,72,72,0.5372857142857144,38.61185714285715,2539,scram
47,CEV,1,48,1,0,240.92428730451502,68,0,0.5325714285714286,36.46742857142858,2572,scram
48,CEV,1,49,1,0,245.63939578901045,67,67,0.5755714285714286,38.726714285714294,2271,scram
49,CEV,1,50,1,0,250.6710721612908,62,62,0.5517142857142857,34.24142857142857,2438,scram
50,CEV,1,51,1,0,255.5028004955966,69,0,0.5589999999999999,38.677,2387,scram
51,CEV,1,52,1,0,260.1346321948804,68,68,0.5661428571428572,38.69842857142857,2337,scram
52,CEV,1,53,1,0,265.00028076185845,71,0,0.5469999999999999,38.641,2471,scram
53,CEV,1,54,1,0,270.24798738374375,75,75,0.5118571428571428,38.53557142857142,2717,scram
54,CEV,1,55,1,0,275.4296012481209,70,0,0.5164285714285715,35.96714285714286,2685,scram
55,CEV,1,56,1,0,280.69452011352405,75,75,0.5258571428571428,39.62928571428571,2619,scram
56,CEV,1,57,1,0,285.5096197980456,69,0,0.5329999999999999,37.0,2569,scram
57,CEV,1,58,1,0,290.4746552982833,75,0,0.5167142857142857,38.55014285714285,2683,scram
58,CEV,1,59,1,0,295.35636484529823,66,66,0.538,35.385999999999996,2534,scram
59,CEV,1,60,1,0,300.5546565274708,68,0,0.5191428571428571,35.442571428571426,2666,scram
60,CEV,1,61,1,0,305.5197079516947,73,0,0.5261428571428571,38.57842857142857,2617,scram
61,CEV,1,62,1,0,310.41808917047456,70,0,0.5142857142857142,35.97142857142857,2700,scram
62,CEV,1,63,1,0,315.71633880841546,65,0,0.5285714285714286,34.35714285714286,2600,scram
63,IEV,2,64,2,0,2.3717522758524865,39,0,0.749724851142638,29.402671927570868,2071,happy
64,IEV,2,65,2,0,5.054154648212716,17,17,0.8956499627110956,14.930002327102034,383,happy
65,IEV,2,66,2,0,8.169805380282924,16,0,0.8931131314000373,14.543811775136017,482,happy
66,IEV,2,67,2,0,12.10183668602258,36,36,0.8093861836010043,29.480660902655014,1632,happy
67,IEV,2,68,2,0,16.517059849807993,34,0,0.7862845205488158,26.887641794351463,1815,happy
68,IEV,2,69,2,0,20.98229300091043,40,0,0.7862845205488158,31.60534891764436,1815,happy
69,IEV,2,70,2,0,24.081248315051198,18,18,0.8804481365815917,15.873353859082549,798,happy
70,IEV,2,71,2,0,28.946295409230515,60,60,0.6578767256567999,39.78353564887985,2614,happy
71,IEV,2,72,2,0,34.161243957001716,58,0,0.6672168797364294,38.50497832082297,2563,happy
72,IEV,2,73,2,0,37.06029341719113,16,16,0.8910911695516668,14.039158916985972,547,happy
73,IEV,2,74,2,0,41.0090310361702,37,0,0.8075914603758558,29.652411775106355,1647,happy
74,IEV,2,75,2,0,44.29127668472938,19,19,0.8773728798436645,16.354968730316074,855,happy
75,IEV,2,76,2,0,49.58955342089757,63,63,0.6427848321586536,40.74531416635775,2695,happy
76,IEV,2,77,2,0,52.22198603465222,20,20,0.8957391267468485,17.598875443780205,379,happy
77,IEV,2,78,2,0,57.17038897401653,58,58,0.6704821126866684,38.955476401986736,2545,happy
78,IEV,2,79,2,0,60.10271808295511,18,18,0.8932281714536231,16.307780985731082,478,happy
79,IEV,2,80,2,0,65.05109029216692,57,57,0.6740905102720811,38.714137503476614,2525,happy
80,IEV,2,81,2,0,67.96683740545996,20,20,0.8922467422740256,18.280378854742487,511,happy
81,IEV,2,82,2,0,72.88205484231003,50,50,0.6856709745302811,34.497862229746524,2460,happy
82,IEV,2,83,2,0,75.58098054374568,22,22,0.8941892001183052,19.696363503005728,443,happy
83,IEV,2,84,2,0,80.32945192768238,51,0,0.6798201134981101,34.927785031214206,2493,happy
84,IEV,2,85,2,0,83.09531406941824,20,20,0.8937325890294522,17.996983480706554,460,happy
85,IEV,2,86,2,0,88.22687604161911,52,52,0.6918106523384869,36.11633742949159,2425,happy
86,IEV,2,87,2,0,90.89264501491562,21,21,0.896169806241537,18.407242844390673,359,happy
87,IEV,2,88,2,0,95.6910582210403,53,53,0.6801763963920987,36.26211013825603,2491,happy
88,IEV,2,89,2,0,98.72337825060822,19,19,0.8958272778873657,16.685142216416242,375,happy
89,IEV,2,90,2,0,103.3551926293876,56,0,0.7006322549450754,38.97866486591415,2374,happy
90,IEV,2,91,2,0,106.30423280061223,21,21,0.8954685854913925,18.549083061728147,391,happy
91,IEV,2,92,2,0,111.41923736128956,49,49,0.6918106523384869,34.040905472476126,2425,happy
92,IEV,2,93,2,0,114.45151827973314,21,21,0.8958709744430934,18.467951848377332,373,happy
93,IEV,2,94,2,0,119.21661524032243,58,58,0.6863761108856943,39.936695338218016,2456,happy
94,IEV,2,95,2,0,121.98237904533744,14,14,0.8962322445491372,12.120884988930692,356,happy
95,IEV,2,96,2,0,126.76413370971568,49,49,0.6923337040043707,34.00169639330889,2422,happy
96,IEV,2,97,2,0,129.52989388327114,22,22,0.8958272778873657,19.37262405007834,375,happy
97,IEV,2,98,2,0,134.31166614755057,60,0,0.6748096801128454,40.69023305077964,2521,happy
98,IEV,2,99,2,0,137.16071456018835,15,15,0.8965951297118429,13.837229270110768,338,happy
99,IEV,2,100,2,0,142.32569502550177,58,58,0.6655780664477651,38.614796674248055,2572,happy
100,IEV,2,101,2,0,145.07477821898647,20,20,0.89296781675826,18.14400785990477,487,happy
101,IEV,2,102,2,0,150.27306403475814,51,0,0.6810661586314442,34.836671576054385,2486,happy
102,IEV,2,103,2,0,153.22211817419156,20,20,0.8975157759147656,18.129802333536325,287,happy
103,IEV,2,104,2,0,158.1371962078847,55,55,0.6958075959623301,38.61080701769898,2402,happy
104,IEV,2,105,2,0,161.0362546078395,19,19,0.8914537559470144,16.645037985321956,536,happy
105,IEV,2,106,2,0,165.73465957283042,47,47,0.7072753989123582,33.56973783831002,2335,happy
106,IEV,2,107,2,0,168.483801712282,19,19,0.8955824233962882,16.735038906952408,386,happy
