,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1,1,1,0,1.2895071859675227,47,0,0.7591428571428571,35.48171428571428,986,scram
1,CEV,1,2,1,0,5.685915947411559,57,0,0.6314285714285715,35.73714285714286,1880,scram
2,CEV,1,3,1,0,10.20104091441317,62,62,0.5720000000000001,35.284,2296,scram
3,CEV,1,4,1,0,14.283064188319258,54,54,0.6631428571428571,35.67371428571428,1658,scram
4,CEV,1,5,1,0,17.215428776558838,46,46,0.8124285714285714,37.0,613,scram
5,CEV,1,6,1,0,20.780902042009984,49,49,0.7362857142857142,36.26371428571428,1146,scram
6,CEV,1,7,1,0,25.096144342358457,52,52,0.665,34.34,1645,scram
7,CEV,1,8,1,0,30.311128928384278,74,0,0.5221428571428571,38.56642857142857,2645,scram
8,CEV,1,9,1,0,34.20982163933513,60,60,0.653,38.959,1729,scram
9,CEV,1,10,1,0,37.75866346141265,43,43,0.7745714285714286,33.12714285714286,878,scram
10,CEV,1,11,1,0,41.30750528349017,47,47,0.7388571428571429,34.78342857142857,1128,scram
11,CEV,1,12,1,0,45.48945075420488,57,0,0.6841428571428572,39.05242857142857,1511,scram
12,CEV,1,13,1,0,48.52180123451399,50,50,0.8127142857142857,40.25085714285714,611,scram
13,CEV,1,14,1,0,51.23756399206468,45,45,0.8222857142857143,37.0,544,scram
14,CEV,1,15,1,0,54.60310849561938,53,53,0.7581428571428571,40.03257142857143,993,scram
15,CEV,1,16,1,0,58.418531684888876,55,55,0.7008571428571428,38.401714285714284,1394,scram
16,CEV,1,17,1,0,61.617482948247925,45,0,0.7675714285714286,34.69728571428571,927,scram
17,CEV,1,18,1,0,64.68316001055064,45,45,0.8224285714285714,36.99999999999999,543,scram
18,CEV,1,19,1,0,68.34872309189814,54,0,0.7581428571428571,40.79071428571429,993,scram
19,CEV,1,20,1,0,72.56387585571792,59,59,0.6725714285714286,39.690285714285714,1592,scram
20,CEV,1,21,1,0,76.79582041851245,55,55,0.6701428571428572,37.0,1609,scram
21,CEV,1,22,1,0,80.64454560565355,59,0,0.6605714285714286,38.98171428571429,1676,scram
22,CEV,1,23,1,0,83.92681053037813,51,51,0.7417142857142858,37.74171428571429,1108,scram
23,CEV,1,24,1,0,86.8425277514325,45,45,0.8225714285714285,36.99999999999999,542,scram
24,CEV,1,25,1,0,90.17479316504614,47,47,0.7631428571428571,36.23685714285714,958,scram
25,CEV,1,26,1,0,94.3400722717488,58,0,0.6655714285714286,38.33114285714286,1641,scram
26,CEV,1,27,1,0,97.33908415734186,48,48,0.7964285714285715,38.59285714285714,725,scram
27,CEV,1,28,1,0,101.40440083864087,59,59,0.6657142857142857,38.997142857142855,1640,scram
28,CEV,1,29,1,0,104.93661596655147,48,48,0.7418571428571429,35.516285714285715,1107,scram
29,CEV,1,30,1,0,108.03558273466479,51,51,0.768,39.304,924,scram
30,CEV,1,31,1,0,111.13453497580485,44,44,0.8180000000000001,36.182,574,scram
31,CEV,1,32,1,0,114.68338685503113,44,44,0.7538571428571429,33.230714285714285,1023,scram
32,CEV,1,33,1,0,118.24885425381945,51,51,0.7085714285714286,36.291428571428575,1340,scram
33,CEV,1,34,1,0,121.89763447588484,52,52,0.761,39.283,973,scram
34,CEV,1,35,1,0,125.11325769056566,49,49,0.8087142857142857,39.42614285714286,639,scram
35,CEV,1,36,1,0,129.0119777792861,52,0,0.704,36.296,1372,scram
36,CEV,1,37,1,0,132.7440895421023,50,50,0.685,34.26,1505,scram
37,CEV,1,38,1,0,137.04267218319,57,0,0.6468571428571428,36.99999999999999,1772,scram
38,CEV,1,39,1,0,140.6748136983806,56,56,0.7064285714285714,39.825714285714284,1355,scram
39,CEV,1,40,1,0,143.72379925381392,41,41,0.8184285714285714,33.72628571428571,571,scram
40,CEV,1,41,1,0,147.08936526848993,45,45,0.766,34.702,938,scram
41,CEV,1,42,1,0,150.75483476251247,55,55,0.7018571428571428,38.40371428571429,1387,scram
42,CEV,1,43,1,0,154.0870817380346,49,0,0.7851428571428571,38.57028571428572,804,scram
43,CEV,1,44,1,0,157.93580161723366,60,0,0.6614285714285715,39.645714285714284,1670,scram
44,CEV,1,45,1,0,161.384683528202,45,45,0.7828571428571429,35.434285714285714,820,scram
45,CEV,1,46,1,0,166.43300195974007,67,0,0.5258571428571428,35.42242857142857,2619,scram
46,CEV,1,47,1,0,169.84857293314417,51,51,0.7662857142857142,39.29885714285714,936,scram
47,CEV,1,48,1,0,173.13080154040654,45,45,0.7995714285714286,36.200428571428574,703,scram
48,CEV,1,49,1,0,176.11314231278084,48,48,0.821,39.462999999999994,553,scram
49,CEV,1,50,1,0,179.7286347845802,44,44,0.7521428571428571,33.239285714285714,1035,scram
50,CEV,1,51,1,0,183.06091221090173,51,0,0.7711428571428571,39.313428571428574,902,scram
51,CEV,1,52,1,0,186.15984936631867,50,50,0.783,39.349000000000004,819,scram
52,CEV,1,53,1,0,189.77536474607768,54,0,0.7235714285714285,39.17071428571428,1235,scram
53,CEV,1,54,1,0,193.10758350571268,50,50,0.7854285714285714,39.35628571428571,802,scram
54,CEV,1,55,1,0,195.97330526645237,42,42,0.845,35.309999999999995,385,scram
55,CEV,1,56,1,0,199.45549113085144,53,53,0.7784285714285715,40.89214285714286,851,scram
56,CEV,1,57,1,0,202.4045153783518,46,0,0.7974285714285714,37.0,718,scram
57,CEV,1,58,1,0,205.30355897187837,49,0,0.8118571428571428,39.43557142857143,617,scram
58,CEV,1,59,1,0,208.9190469738387,49,49,0.7167142857142856,34.84985714285714,1283,scram
59,CEV,1,60,1,0,212.88439983293938,50,0,0.6952857142857143,34.914142857142856,1433,scram
60,CEV,1,61,1,0,215.83342855026422,49,49,0.812,39.436,616,scram
61,CEV,1,62,1,0,218.71580941152934,44,44,0.8,35.4,700,scram
62,CEV,1,63,1,0,222.73115745156247,47,0,0.7097142857142857,33.45142857142857,1332,scram
63,IEV,2,64,2,0,1.2887967604765436,19,0,0.8692080158521511,16.690587505892612,988,happy
64,IEV,2,65,2,0,5.753937721136026,45,45,0.7325906793671478,33.03965791319377,2181,happy
65,IEV,2,66,2,0,9.402738616219722,22,0,0.867378699744952,18.684691549798362,1015,happy
