,function,run,trial,block,null,starttime,mag,scoreinc,freq,ev,RT,emotion
0,CEV,1.0,1.0,1.0,0.0,2.222560688620433,57.0,0.0,0.6258571428571429,35.748285714285714,1919.0,scram
1,CEV,1.0,2.0,1.0,0.0,7.818562415195629,78.0,0.0,0.4604285714285714,36.079142857142855,3077.0,scram
2,CEV,1.0,3.0,1.0,0.0,11.150798774790019,47.0,47.0,0.7408571428571429,34.77742857142857,1114.0,scram
3,CEV,1.0,4.0,1.0,0.0,14.699697028612718,48.0,48.0,0.7392857142857143,35.52142857142857,1125.0,scram
4,CEV,1.0,5.0,1.0,0.0,18.315110998926684,52.0,52.0,0.7147142857142856,36.99999999999999,1297.0,scram
5,CEV,1.0,6.0,1.0,0.0,22.180500315036625,52.0,52.0,0.6934285714285715,36.30657142857143,1446.0,scram
6,CEV,1.0,7.0,1.0,0.0,26.34582551708445,50.0,50.0,0.6862857142857143,34.25485714285714,1496.0,scram
7,CEV,1.0,8.0,1.0,0.0,30.56111824279651,59.0,59.0,0.665,38.995000000000005,1645.0,scram
8,CEV,1.0,9.0,1.0,0.0,34.45981318852864,60.0,60.0,0.653,38.959,1729.0,scram
9,CEV,1.0,10.0,1.0,0.0,38.875087476335466,52.0,52.0,0.6507142857142857,33.74642857142857,1745.0,scram
10,CEV,1.0,11.0,1.0,0.0,43.15697302320041,55.0,55.0,0.6341428571428571,35.09757142857143,1861.0,scram
11,CEV,1.0,12.0,1.0,0.0,47.75542506109923,62.0,0.0,0.6262857142857143,38.87885714285714,1916.0,scram
12,CEV,1.0,13.0,1.0,0.0,51.83746314141899,60.0,60.0,0.6627142857142857,39.65085714285714,1661.0,scram
13,CEV,1.0,14.0,1.0,0.0,55.58618288091384,55.0,55.0,0.6745714285714286,37.0,1578.0,scram
14,CEV,1.0,15.0,1.0,0.0,59.43491840455681,59.0,59.0,0.6675714285714286,39.67028571428572,1627.0,scram
15,CEV,1.0,16.0,1.0,0.0,63.51689502433874,58.0,58.0,0.6628571428571428,38.325714285714284,1660.0,scram
16,CEV,1.0,17.0,1.0,0.0,67.46560750040226,53.0,0.0,0.6604285714285714,35.01871428571428,1677.0,scram
17,CEV,1.0,18.0,1.0,0.0,71.39765137759969,53.0,53.0,0.6987142857142857,37.0,1409.0,scram
18,CEV,1.0,19.0,1.0,0.0,75.64624163135886,60.0,0.0,0.6748571428571428,40.37428571428571,1576.0,scram
19,CEV,1.0,20.0,1.0,0.0,79.51163653493859,55.0,55.0,0.7224285714285714,39.889714285714284,1243.0,scram
20,CEV,1.0,21.0,1.0,0.0,83.26047919504344,50.0,50.0,0.7391428571428571,36.99999999999999,1126.0,scram
21,CEV,1.0,22.0,1.0,0.0,86.74261086271144,55.0,0.0,0.7130000000000001,39.139,1309.0,scram
22,CEV,1.0,23.0,1.0,0.0,90.02485651127063,51.0,51.0,0.7415714285714285,37.741571428571426,1109.0,scram
23,CEV,1.0,24.0,1.0,0.0,93.45703629939817,49.0,49.0,0.7487142857142857,37.0,1059.0,scram
24,CEV,1.0,25.0,1.0,0.0,96.92259630770423,49.0,49.0,0.744,36.256,1092.0,scram
25,CEV,1.0,26.0,1.0,0.0,100.57141536148265,52.0,52.0,0.7394285714285714,38.478857142857144,1124.0,scram
26,CEV,1.0,27.0,1.0,0.0,103.97032583761029,52.0,52.0,0.7394285714285714,38.478857142857144,1124.0,scram
27,CEV,1.0,28.0,1.0,0.0,107.55248614004813,53.0,53.0,0.7347142857142857,39.204142857142855,1157.0,scram
28,CEV,1.0,29.0,1.0,0.0,111.11793398321606,48.0,48.0,0.737,35.525999999999996,1141.0,scram
29,CEV,1.0,30.0,1.0,0.0,114.41685270052403,53.0,53.0,0.7394285714285714,39.21828571428572,1124.0,scram
