id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed,alpha_ffx,beta_ffx,alpha_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1773.76846963171,-1769.75449303706,-1771.75449303706,-1775.97706930514,0.0124908464113382,4.66356939333732,3.43132667608868,0.990655411899284,30.9176332378498,0.968269969170211,3.33305706423745,0.724774531682799,28.0238816925135
10638_20140516,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1588.24978638607,-1581.20236562399,-1583.20236562399,-1587.42494189206,0.0341734856609143,-4.45645263332597,1.44648220099936,0.0114703563351558,4.2481440821131,-4.09884616232021,1.71288351338626,0.0163210134831632,5.54492731985423
10662_20140415,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1566.57069197283,-1562.15348016958,-1564.15348016958,-1568.37605643765,0.0388631709618609,5.50617724086813,3.10926031210975,0.995954825618828,22.404465957909,2.34521916011803,3.09427201764457,0.912553469998258,22.0711652688479
10711_20140825,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1834.24600003447,-1827.923739191,-1829.923739191,-1834.14631545907,0.00354423485624378,-1.97515436232355,3.33244827747165,0.121836334234451,28.0068263162831,-1.92833387183944,3.29064517112404,0.126935110014945,26.860187484232
10767_20140828,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1806.47168794595,-1800.17343812591,-1802.17343812591,-1806.39601439398,0.00413929803463964,-1.13714701261898,3.15704948593027,0.242844557924784,23.5011530506205,-1.08181814188194,3.1369794241825,0.253162104413293,23.0341851695913
10772_20140509,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1703.8833563639,-1696.70755414526,-1698.70755414526,-1702.93013041333,0.0121737094132849,-1.62919612113974,2.88662934104223,0.163940514329304,17.9327623906861,-1.58881190323469,2.88320708857999,0.169551119489188,17.8714968433192
10811_20140801,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1695.75128810021,-1691.36303723264,-1693.36303723264,-1697.58561350071,0.0265921877712507,6.35746018399627,3.05050764730915,0.998269236169388,21.1260662915523,3.11073654701861,3.04073796685798,0.957333451001755,20.9206763056051
10814_20140807,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1848.86721831222,-1845.47831284783,-1847.47831284783,-1851.7008891159,0.00192322943569301,4.83845474329291,4.51633214051732,0.992142940345438,91.4993748957149,1.74392945281751,4.39396674327808,0.851185491517962,80.9609341007322
10822_20140703,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1704.18595980437,-1699.98804053901,-1701.98804053901,-1706.21061680708,0.0205226504546565,5.02245665133428,3.18743575803926,0.99345480027747,24.2262258223706,2.15092498468715,3.14678960109358,0.895755181573444,23.2612666345976
10873_20141014,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1732.01480439473,-1727.72931113028,-1729.72931113028,-1733.95188739835,0.0172453559157588,5.9662408903412,3.41598904227995,0.997442695411825,30.4470479584826,2.81103558638066,3.39550650686703,0.943269261309868,29.8297586267699
10891_20140925,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1750.36181938963,-1744.73150588141,-1746.73150588141,-1750.95408214948,0.0161363482653845,-5.89522170091414,0.734493736033199,0.00274501020716414,2.08442645533157,-2.4743299315462,3.11156509232446,0.0776774551354194,22.4561628799069
10895_20140709,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1839.6266696909,-1835.16531677343,-1837.16531677343,-1841.3878930415,0.00208966506214636,-4.27320186567574,1.8704985378958,0.0137455145243944,6.49153186735566,-3.11567002436264,2.72338889497314,0.0424654896640624,15.2318540312878
10997_20140221,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1717.07851050871,-1709.51947606051,-1711.51947606051,-1715.74205232858,0.0183169603642088,-2.45257038395146,2.68540427940212,0.0792507850537351,14.664128587196,-2.38968583783485,2.69126148743379,0.083962591854921,14.7502714710556
11162_20140708,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1580.2914413396,-1575.82113783699,-1577.82113783699,-1582.04371410506,0.0362307058413386,6.04745058059296,3.01232549082602,0.997641693899966,20.3346329863901,2.94782892236227,2.9992637583432,0.950160776886804,20.0707545565705
11178_20140515,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1614.53040626044,-1609.97622076467,-1611.97622076467,-1616.19879703274,0.0367685640018662,6.69955871701923,3.04199449524824,0.998770059413722,20.9469802516932,3.08456844091937,3.04054993878093,0.956251701376696,20.9167430008662
11216_20141008,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1795.75289814951,-1788.64458799721,-1790.64458799721,-1794.86716426529,0.00655535044164646,-1.65419795394471,3.02233882754314,0.160542390957935,20.5392733701507,-1.62556555400417,3.00558462242585,0.164438741796732,20.1980208609391
11228_20140911,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1493.96818660489,-1486.36482312171,-1488.36482312171,-1492.58739938979,0.0629995649239075,0.991944893158163,2.66199221567989,0.729471903959267,14.3247987792712,0.929008081271868,2.65274039611031,0.716874003363634,14.1928795131992
11229_20140212,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-6.65756814885117,-3.81989178249656,-5.81989178249656,-10.0424680505679,0.997981847847926,-3.33294559822262,-2.2674399307363,0.03445809356937,0.103577005260658,-3.33380240235203,-1.93914629175574,0.0344295984354733,0.143826683406263
11243_20140213,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1721.41245798849,-1717.18210312984,-1719.18210312984,-1723.40467939791,0.0225404383439958,5.3713782034718,3.31909414099123,0.995373779993217,27.6353055261242,2.1473662772329,3.26488955504222,0.895422408853271,26.1772196892376
